company,normalized_domain,location,public_signal,source_url,source_date,likely_decision_maker_role,score,tier,recommended_resource_angle,scoring_basis
"WaynCo Roofing","waynco.com","Charlotte / Matthews / Carolinas","Promotes free storm inspections, 24/7 emergency response, insurance-claim help, residential and commercial services, and coverage across multiple Carolinas markets.","https://waynco.com/storm-damage-roof-repair/","2026-09-03","Regional Operations Manager or Sales Director",8,"Tier 1","Storm lead follow-up","Storm positioning +2; 24/7 emergency response +2; residential/commercial mix +2; multiple territories +1; free inspection CTA +1."
"Keyway Construction & Roofing","keywayconstructionclt.com","Matthews / Greater Charlotte","Offers free next-day storm-damage inspections across Mecklenburg and Union counties, supports residential and commercial roofing, and publishes a broad Charlotte-metro service area.","https://www.keywayconstructionclt.com/storm-damage/","2026-09-03","Owner or Operations Manager",8,"Tier 1","Roofing lead response time","Storm positioning +2; next-day response commitment +2; residential/commercial mix +2; multiple territories +1; free inspection CTA +1."
"Best Roofing Now","bestroofingnow.com","Charlotte","Publishes 24/7 emergency availability, free roof inspections, storm restoration and insurance assistance; states it has installed 500+ roofs and is open seven days a week.","https://www.bestroofingnow.com/","2026-09-03","Owner or Operations Manager",9,"Tier 1","After-hours answering","24/7 emergency coverage +2; storm positioning +2; established/high-inbound signal +1; free inspection CTA +1; multiple exterior-service routes +2; broad availability +1."
"TeamCraft Roofing","tcrfg.com","Pineville / Charlotte region","Serves commercial and industrial properties within roughly two hours of Charlotte, offers on-call emergency roofing, and publishes Monday-Friday 7 a.m.-5 p.m. office hours.","https://www.tcrfg.com/charlotte","2026-09-03","Charlotte Branch Manager or Service Manager",7,"Tier 2","After-hours answering","Emergency positioning +2; published office-hours gap +2; complex commercial service routes +2; broad Charlotte territory +1."
"Carolina Storm Roofing","csroofingandgutters.com","Charlotte metro","Promotes free wind-and-hail inspections, emergency tarp service, insurance-claim support, residential and commercial work, and says its local team has installed thousands of roofs since 2004.","https://csroofingandgutters.com/charlotte-free-roof-inspection/","2026-09-03","Owner or Operations Manager",9,"Tier 1","Storm lead follow-up","Storm positioning +2; emergency tarp service +2; residential/commercial mix +2; established high-inbound signal +1; free inspection CTA +1; insurance intake complexity +1."
"Well Krafted Roofing","wellkraftedroofing.com","Huntersville / Charlotte metro","Offers free property inspections, storm restoration and insurance-claim support across Huntersville, Cornelius, Davidson, Mooresville, Lake Wylie and surrounding communities.","https://www.wellkraftedroofing.com/storm-damage/","2026-09-03","Owner or Operations Manager",7,"Tier 2","Storm lead follow-up","Storm positioning +2; multiple territories +1; free inspection CTA +1; insurance intake complexity +1; multiple exterior-service routes +2."
"Falcon Roofing of the Carolinas","falconroofs.com","Charlotte / Lake Norman / Carolinas","Publishes 24/7 emergency assistance, free inspections, residential and commercial roofing, storm-damage services, and coverage across numerous North Carolina and South Carolina communities.","https://falconroofs.com/falcon-emergency-roofing","2026-09-03","Owner or Operations Manager",8,"Tier 1","After-hours answering","24/7 emergency coverage +2; storm positioning +2; residential/commercial mix +2; multiple territories +1; free inspection CTA +1."
"Race City Roofing","racecityroofing.com","Mooresville / Charlotte / Lake Norman","Markets emergency and storm-damage roofing, residential and commercial work, multiple specialty roof services, free estimates, and a service radius spanning Charlotte and Lake Norman communities.","https://racecityroofing.com/emergency-roofing-services-charlotte/","2026-09-03","Owner or Operations Manager",7,"Tier 2","Roofing lead qualification questions","Emergency/storm positioning +2; residential/commercial mix +2; multiple territories +1; free estimate CTA +1; specialty-service routing complexity +1."
"Taylor Roofing","roofsbytaylor.com","Charlotte","Publishes 24/7 emergency roof repair for leaks and storm damage, free estimate and inspection paths, and residential, commercial, specialty and insurance-related services.","https://www.roofsbytaylor.com/emergency-roof-repair/","2026-09-03","Owner or Operations Manager",7,"Tier 2","After-hours answering","24/7 emergency coverage +2; storm/urgent positioning +2; residential/commercial mix +2; free estimate CTA +1."
"Max Roofing NC","max-roofing.com","Concord / Greater Charlotte","Offers free inspections for residential and commercial roofing, storm and emergency work, insurance-claim support, and service across six counties and 12+ Charlotte-area cities.","https://max-roofing.com/","2026-09-03","Owner or General Manager",8,"Tier 1","Roofing lead qualification questions","Storm/emergency positioning +2; residential/commercial mix +2; multiple territories +1; free inspection CTA +1; established experience +1; insurance intake complexity +1."
"Good Roofing & Restoration","goodroofing.org","Charlotte / North and South Carolina","Offers free storm inspections with photo reports, insurance documentation and adjuster coordination, multiple roofing and restoration services, and coverage across both Carolinas.","https://goodroofing.org/services/storm-damage","2026-09-03","Owner or Operations Manager",7,"Tier 2","Storm lead follow-up","Storm positioning +2; multiple exterior-service routes +2; multi-state territory +1; free inspection CTA +1; review/reputation signal +1."
"Merritt Roofing","merrittroofing.com","Charlotte / Fort Mill","Operates Charlotte and Fort Mill locations, offers free inspections and estimates, handles storm restoration and insurance documentation, and supports repairs, replacements, gutters and skylights.","https://www.merrittroofing.com/storm-damage-restoration/insurance-claims-process/","2026-09-03","General Manager or Director of Sales",8,"Tier 1","Roofing marketing ROI","Storm positioning +2; multiple locations +1; free inspection CTA +1; multiple service routes +2; established certification signal +1; insurance intake complexity +1."
"Northline Roofing","northlineroofing.com","Matthews / Charlotte metro","Promotes storm-damage restoration, roof inspections, repairs, replacements and gutters with an online project-intake form and free-inspection offer for Charlotte-area homeowners.","https://northlineroofing.com/blog/how-to-file-a-roofing-insurance-claim-charlotte-roofers/","2026-09-03","Owner or Sales Manager",6,"Tier 2","Roofing lead qualification questions","Storm positioning +2; multiple service routes +2; project-intake CTA +1; insurance documentation workflow +1."
"Charlotte Ace Roofing","charlotteaceroofing.com","Charlotte metro","Offers free estimates, storm-response inspections, insurance coordination and roofing, gutter, skylight and insulation services across many Charlotte-area location pages.","https://charlotteaceroofing.com/damage-inspection-roofing-charlotte-nc/","2026-09-03","Owner or Operations Manager",7,"Tier 2","Roofing lead qualification questions","Storm positioning +2; multiple territories +1; free estimate CTA +1; insurance intake complexity +1; multiple service routes +2."
"H&S Roofing & Gutter Company","hsroofing.com","Charlotte / surrounding 75-mile area","Promotes more than 80 years of experience, residential and commercial repairs, 24-hour emergency service, broad regional coverage and online quote requests.","https://hsroofing.com/","2026-09-03","General Manager or Service Manager",8,"Tier 1","After-hours answering","Established high-inbound brand +1; 24-hour emergency coverage +2; residential/commercial mix +2; broad territory +1; quote CTA +1; multiple service routes +1."
"Roof Medic","roofmedic.com","Charlotte / Raleigh","Offers free exterior storm-damage inspections with photos and written reports, handles insurance claims regularly, and serves both Charlotte and Raleigh markets.","https://roofmedic.com/storm-damage/","2026-09-03","Director of Operations or Sales Manager",8,"Tier 1","Storm lead follow-up","Storm positioning +2; multiple markets +1; free inspection CTA +1; established/high-inbound signal +2; insurance intake complexity +1; documented assessment workflow +1."
