company,normalized_domain,location,public_signal,source_url,source_date,likely_decision_maker_role,score,tier,recommended_resource_angle,scoring_basis
"Roof Bear","ourroofbear.com","Jacksonville / Duval and St. Johns counties","Publishes 24/7 storm-damage and emergency response, a free roofing quote, 200+ reviews, an in-house team, and service across multiple Northeast Florida communities.","https://www.ourroofbear.com/jacksonville/storm-damage-roof-repair","2026-09-03","Regional General Manager or Operations Manager",9,"Tier 1","Storm lead follow-up","24/7 storm/urgent positioning +2; 100+ reviews +1; in-house team/capacity +1; multiple territories +1; free quote CTA +1; insurance-intake complexity +1; established high-inbound brand +2."
"Elo Roofing","eloroofing.com","Jacksonville / Northeast Florida","Offers 24/7 emergency tarping, active-leak repair, and storm response for residential and commercial properties, with free inspections and estimates.","https://eloroofing.com/jacksonville/roof-repair/emergency/","2026-09-03","Regional Operations Manager or Sales Manager",8,"Tier 1","After-hours answering","24/7 emergency positioning +2; storm demand +2; residential/commercial routes +2; inspection CTA +1; multi-county service signal +1."
"Bigfoot Roofing & Construction","bigfootroofing.com","Jacksonville / Orlando / Northeast and Central Florida","Advertises 24/7 emergency roofing for homeowners and businesses, online booking and estimates, storm documentation, and multiple Florida locations.","https://www.bigfootroofing.com/roofing/emergency-service","2026-09-03","Regional General Manager or Director of Operations",9,"Tier 1","After-hours answering","24/7 emergency positioning +2; storm/urgent demand +2; residential/commercial routes +2; multiple locations +1; online booking/estimate CTA +1; established high-inbound brand +1."
"Brazen Roofing","brazenroofing.com","Jacksonville / multi-state","Promotes free written roof inspections in Jacksonville and reports 4,387 roofs completed since 2021, about 800 roofs per year, dedicated quality-control inspectors, and twelve markets.","https://brazenroofing.com/brazen-roofing-locations/jacksonville-florida/","2026-09-03","Regional General Manager or Director of Operations",9,"Tier 1","Roofing marketing ROI","Multiple markets +1; high-volume capacity signal +2; dedicated inspection team +1; inspection CTA +1; storm/repair demand +2; established high-inbound brand +2."
"Heritage Roofing of North Florida","heritagenfl.com","Jacksonville / First Coast","Publishes 24/7 emergency repair, residential, commercial and multifamily roofing, a free estimate, and extended seven-day business availability.","https://www.heritagenfl.com/","2026-09-03","Owner or Director of Operations",8,"Tier 1","After-hours answering","24/7 emergency positioning +2; residential/commercial/multifamily routes +2; free estimate CTA +1; extended-hours intake +1; storm/hurricane demand +2."
"Gimo's Roofing","gimosroofing.com","Jacksonville / Duval, St. Johns, Clay and Nassau counties","Advertises 24-hour emergency roofing including nights, weekends and holidays, same-day response, commercial roof repair, and free estimates across four counties.","https://www.gimosroofing.com/services/emergency-roof-repair","2026-09-03","Owner or Operations Manager",9,"Tier 1","After-hours answering","24/7 emergency positioning +2; same-day/high-intent demand +2; commercial and residential routes +2; multiple counties +1; free estimate CTA +1; weekend/holiday coverage +1."
"River Roofing & Construction","riverroofingllc.com","Jacksonville / Northeast Florida","Promotes 24/7 emergency service, residential and commercial roofing, storm-claim support, free estimates, and general-contracting routes.","https://riverroofingllc.com/","2026-09-03","Owner or Operations Manager",8,"Tier 1","Roofing lead qualification questions","24/7 emergency positioning +2; storm demand +2; residential/commercial routes +2; free estimate CTA +1; multiple service routes +1."
"Shorebreak Roofing","shorebreakservices.com","Jacksonville / Nassau / St. Johns / Tampa Bay","Publishes 24/7 emergency service, free estimates, 2,000+ completed roofs, and a multi-region service footprint across North Florida and Tampa Bay.","https://shorebreakservices.com/","2026-09-03","Owner or Director of Operations",8,"Tier 1","Roofing lead response time","24/7 emergency positioning +2; 2,000+ roofs/high inbound +2; multiple territories +1; free estimate CTA +1; storm/urgent demand +2."
"AMW Contracting","amwcontracting.com","Jacksonville","Provides 24/7 commercial roof-leak and storm response, free estimates, and specialized routing for restaurants, schools, healthcare, warehouses, retail, and multi-location properties.","https://amwcontracting.com/commercial-roof-repair-jacksonville-fl/","2026-09-03","Owner or Commercial Operations Manager",8,"Tier 1","AI receptionist buyer's guide","24/7 emergency positioning +2; commercial urgent demand +2; complex industry routes +2; multi-location customer needs +1; free estimate CTA +1."
"Miller Roofing Solutions","mrsroofers.com","Jacksonville / Northeast Florida","Promotes free inspections and estimates plus 24/7 emergency tarping and repair for active leaks, supported by a multi-crew service operation.","https://mrsroofers.com/","2026-09-03","Owner or Operations Manager",8,"Tier 1","After-hours answering","24/7 emergency positioning +2; free inspection CTA +1; active-leak demand +2; multiple crews/capacity +1; broad Northeast Florida service +1; established inbound funnel +1."
