company,normalized_domain,location,public_signal,source_url,source_date,likely_decision_maker_role,score,tier,recommended_resource_angle,scoring_basis
"EDP Roofing","edproofing.com","Dallas / DFW","Publishes 24/7 rapid response for storm damage, active leaks, and fallen trees across North Texas; offers a free estimate.","https://edproofing.com/emergency-roof-repair-dallas/","2026-09-03","Owner or Operations Manager",6,"Tier 2","Storm lead follow-up","Storm/urgent positioning +2; multiple territories +1; clear estimate CTA +1; broad residential and commercial demand +2."
"Fair N Square Roofing & Construction","fairnsquaretx.com","Dallas","Promotes hail and storm-damage repair, insurance-related restoration, free inspections, and the ability to handle multiple restoration projects.","https://fairnsquaretx.com/storm-damage-restoration/","2026-09-03","Owner or General Manager",6,"Tier 2","Storm lead follow-up","Storm positioning +2; high-inbound/capacity signal +1; clear inspection CTA +1; residential and commercial service mix +2."
"L&D Roofing","ld-roofing.com","Fort Worth / DFW","Offers a free roof inspection, says it responds within 24 hours, and lists Dallas, Arlington, Grand Prairie, and Denton among nearby service areas.","https://www.ld-roofing.com/service-areas/fort-worth-tx","2026-09-03","Owner or Sales Manager",6,"Tier 2","Roofing lead response time","Published response commitment +2; multiple territories +1; clear inspection CTA +1; repair/replacement demand +2."
"Tarrant Roofing","tarrantroofing.com","Fort Worth / DFW","Offers free residential and commercial roof inspections and estimates for repair or replacement across its service areas.","https://tarrantroofing.com/residential-roof-inspection/","2026-09-03","Owner or Operations Manager",6,"Tier 2","Roofing appointment scheduling","Free estimate CTA +1; residential/commercial mix +2; multiple service areas +1; strong inbound inspection positioning +2."
"Phoenix Storm Restoration","phoenixstormgroup.com","Grapevine / Tarrant and Dallas counties","Publishes 24/7 emergency roofing response, storm restoration, complimentary inspections, and coverage across Tarrant and Dallas counties.","https://www.phoenixstormgroup.com/","2026-09-03","Owner or Operations Manager",7,"Tier 2","Storm lead follow-up","Storm/urgent positioning +2; 24/7/high-inbound coverage +2; multiple territories +1; inspection CTA +1; escalation complexity +1."
"Elevated Roofing","elevatedroofing.com","Fort Worth / Plano / DFW","Offers free no-obligation roof assessments and promotes fast residential repairs for leaks, missing shingles, and wind damage across multiple DFW service-area pages.","https://elevatedroofing.com/service-areas/fort-worth/","2026-09-03","General Manager or Sales Manager",6,"Tier 2","Cost per lead vs booked estimate","Multiple territories +1; inspection CTA +1; storm/urgent need +2; strong inbound assessment funnel +2."
"DFW Roofing Pro","dfwroofingpro.com","Dallas / North Texas","States it has 1,000+ five-star reviews, serves residential, commercial, and multifamily projects, offers free inspections, and supports storm/insurance-related work.","https://dfwroofingpro.com/","2026-09-03","Owner or Director of Sales",8,"Tier 1","Roofing marketing ROI","100+ reviews +1; multiple customer/job routes +2; storm positioning +2; high inbound signal +1; inspection CTA +1; broad territory +1."
"Peak Roofing & Construction","peakroofingconstruction.com","Frisco / DFW","Offers free inspections and prompt service from a DFW office and also operates an Austin location, creating multi-location intake and attribution needs.","https://www.peakroofingconstruction.com/free-roofing-inspection/","2026-09-03","General Manager or Director of Operations",7,"Tier 2","Roofing marketing ROI","Multiple locations +1; clear inspection CTA +1; high-inbound positioning +2; multi-market attribution need +1; residential/exterior mix +2."
"RestoreMasters","restoremastersllc.com","Dallas / national","Operates emergency response teams and serves residential plus large commercial properties, including hotels, multifamily, churches, retail, and industrial buildings.","https://www.restoremastersllc.com/locations/texas-dallas/","2026-09-03","Regional Operations Manager",7,"Tier 2","After-hours answering","Emergency positioning +2; multiple locations/territories +1; complex call routing +2; residential/commercial demand +2."
"John's Roofing","johnsroofingdfw.com","Rockwall / DFW","Publishes 24-hours-every-day availability, free estimates, storm-damage repair, and full residential and commercial roofing services.","https://johnsroofingdfw.com/storm-damage-repair/","2026-09-03","Owner or Operations Manager",7,"Tier 2","After-hours answering","Storm/urgent positioning +2; 24/7 coverage/high inbound +2; DFW territory +1; estimate CTA +1; mixed call routes +1."
"CLC Roofing","fortworthroofing.net","Fort Worth / DFW","Promotes an A+ BBB rating, five-star Google reviews, residential roof replacement, and service across the Dallas–Fort Worth market.","https://www.fortworthroofing.net/","2026-09-03","Owner or Sales Manager",5,"Tier 3","Cost per lead vs booked estimate","Review/reputation signal +1; broad DFW territory +1; replacement intent +1; strong inbound positioning +2."
"KPost Roofing & Waterproofing","kpostcompany.com","Dallas","Promotes storm-damage inspections, insurance documentation, residential and commercial services, and direct contact for storm-damage repair.","https://kpostcompany.com/residential-roofing/storm-damage/","2026-09-03","Residential Division Manager or Sales Director",7,"Tier 2","Storm lead follow-up","Storm positioning +2; residential/commercial mix +2; inspection path +1; insurance intake complexity +1; established team/capacity +1."
"The Cowboy Roofing","thecowboyroofing.com","Fort Worth","Promotes emergency roof-leak repair and free estimates while serving Fort Worth and surrounding communities as a local family-owned company.","https://thecowboyroofing.com/services/emergency-roof-leak-repair","2026-09-03","Owner",5,"Tier 3","After-hours answering","Urgent leak positioning +2; free estimate CTA +1; local service area +1; likely owner-led intake +1."
"Lon Smith Roofing","lonsmith.com","Fort Worth / DFW","Has served DFW homeowners for more than 50 years and promotes emergency leak repairs, storm restoration, free roof assessments, and a team of certified inspectors.","https://www.lonsmith.com/residential-roofing-repair/","2026-09-03","Operations Manager or Director of Sales",7,"Tier 2","AI receptionist buyer's guide","Emergency/storm positioning +2; established high-inbound brand +2; multiple inspectors/crews +1; free assessment CTA +1; broad DFW market +1."
"Arrington Roofing","arringtonroofing.com","Dallas / DFW","Publishes a 24/7 emergency line, free storm-damage inspections, 300+ reviews, and service across Dallas, Fort Worth, Plano, Frisco, Irving, and other North Texas communities.","https://arringtonroofing.com/blog/storm-damage-roof-repair-north-texas","2026-09-03","Owner or Operations Manager",8,"Tier 1","Storm lead follow-up","Storm/urgent positioning +2; published 24/7 response +2; 100+ reviews +1; multiple territories +1; inspection CTA +1; high inbound signal +1."
"New View Roofing","newviewroofing.com","Dallas / North DFW","Offers free inspections, emergency storm-damage repairs, and residential, commercial, and industrial roofing throughout North Dallas–Fort Worth.","https://newviewroofing.com/contact-us/","2026-09-03","Owner or Director of Operations",7,"Tier 2","Roofing lead qualification questions","Storm/urgent positioning +2; multiple territories +1; inspection CTA +1; three customer/job routes +2; established intake funnel +1."
"TXD Roofing","txdroofing.com","Fort Worth / North Texas","Markets emergency roof repairs for hail, wind, and other North Texas events and invites homeowners to request a free estimate.","https://txdroofing.com/fort-worth-emergency-roof-repairs/","2026-09-03","Owner or Operations Manager",5,"Tier 3","After-hours answering","Emergency/storm positioning +2; estimate CTA +1; regional service signal +1; urgent-call intake need +1."
"Texcore Construction","texcoreconstruction.com","Fort Worth","Promotes 24/7 emergency roof repair, same-day inspections, residential and commercial work, and in-house crews; its site identifies a CEO/Operations Manager role.","https://texcoreconstruction.com/best-emergency-roofing-services-in-fort-worth/","2026-09-03","CEO/Operations Manager",8,"Tier 1","After-hours answering","24/7 emergency positioning +2; same-day/high inbound signal +2; residential/commercial mix +2; named leadership role +1; free inspection CTA +1."
"RiverTop Roofing","rivertoproofing.com","Plano / DFW","Offers free 101-point roof inspections with weather reports and photo presentations and promotes scheduling consultations for repair or replacement options.","https://www.rivertoproofing.com/plano-tx-roof-inspection","2026-09-03","Owner or Sales Manager",6,"Tier 2","Roofing appointment scheduling","Inspection CTA +1; storm/weather documentation +2; strong intake funnel +2; DFW service signal +1."
"Roof Raiders & Co.","roofraidersandco.com","Dallas / DFW","Promotes free storm inspections, multi-trade restoration, insurance documentation, and a time-sequenced response process for Dallas storm damage.","https://roofraidersandco.com/services/storm-damage-roof-repair-dallas/","2026-09-03","Owner or Operations Manager",6,"Tier 2","Roofing lead response time","Storm positioning +2; inspection CTA +1; high-intent time-based intake +2; multi-trade routing complexity +1."
"SWAT Roofing & Contracting","swatroofing.com","Fort Worth / DFW","Promotes free estimates, emergency tarping, storm-damage repairs, and multiple exterior services with an online appointment-setting consent flow.","https://swatroofing.com/roof-repair/","2026-09-03","Owner or Sales Manager",7,"Tier 2","Missed-call text-back","Storm/urgent positioning +2; appointment CTA +1; explicit text workflow +1; multiple service routes +2; DFW demand +1."
"Hargrove Roofing","hargroveroofing.com","Fort Worth / DFW","Publishes 24/7 emergency roofing for leaks and storm issues, handles residential and commercial work, and offers free estimates across a broader service-area network.","https://www.hargroveroofing.com/dfw/areas-we-serve/fort-worth/","2026-09-03","Regional General Manager or Operations Manager",7,"Tier 2","After-hours answering","24/7 storm positioning +2; multiple territories +1; residential/commercial routes +2; estimate CTA +1; regional operations need +1."
"Bert Roofing","bertroofing.com","Dallas","Publishes Monday–Friday office hours with weekends closed, offers same-day callbacks and free inspections, serves multiple Dallas communities, and reports 100+ Google reviews.","https://bertroofing.com/contact-us/","2026-09-03","Owner or General Manager",8,"Tier 1","After-hours answering","Published coverage gap +2; 100+ reviews +1; multiple territories +1; inspection CTA +1; storm/urgent prioritization +2; established inbound volume +1."
"Dwell Roofing & Exteriors","dwellroofing.com","Plano / Dallas / DFW","Offers no-pressure free inspections, residential and commercial roofing, storm-damage assessments, and service across several North Texas communities.","https://dwellroofing.com/","2026-09-03","Owner or Director of Sales",7,"Tier 2","Roofing lead qualification questions","Storm positioning +2; multiple territories +1; inspection CTA +1; residential/commercial routes +2; established inbound signal +1."
"Firehouse Roofing","firehouseroofing.com","Dallas / Plano / Rowlett / Colleyville / DFW","Publishes Monday–Friday office hours plus 24/7 emergency service, operates across multiple DFW locations, and promotes inspections, repairs, replacements, and a large trained team.","https://firehouseroofing.com/dallas/","2026-09-03","Director of Operations or General Manager",9,"Tier 1","After-hours answering","Published office-hours gap +2; emergency/storm positioning +2; multiple locations +1; multiple crews/capacity +1; inspection CTA +1; established high-inbound brand +2."
